libreoffice-fresh 7.0.4-2
librevenge 0.0.4-3
librsvg 2:2.50.2-1
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libseccomp 2.5.1-2
libsecret 0.20.4-1
libshout 1:2.4.4-1
libsigc++ 2.10.6-1
libsm 1.2.3-2
libsndfile 1.0.28-3
libsodium 1.0.18-2
libsoup 2.72.0+5+g0b094bff-3
libsoxr 0.1.3-2
libspectre 0.2.9-2
libspiro 1:20200505-2
libsrtp 1:2.3.0-1
libssh 0.9.5-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstdc++5 3.3.6-7
libstemmer 0+713-2
libtaginfo 0.2.1-4
libtar 1.2.20-5
libtasn1 4.16.0-1
libteam 1.31-2
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.1.0-2
libtiger 0.3.4-6
libtirpc 1.3.1-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-14
libtorrent-rasterbar 1:1.2.10-7
libunistring 0.9.10-3
libunwind 1.3.1-2
libupnp 1.14.0-1
libusb 1.0.23-3
libusb-compat 0.1.7-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libuv 1.40.0-1
libva 2.10.0-1
libvdpau 1.4-1
libvisio 0.1.7-4
libvisual 0.4.0-8
libvoikko 4.3-3
libvorbis 1.3.7-2
libvpx 1.9.0-1
libwacom 1.7-1
libwebp 1.1.0-1
libwmf 0.2.12-2
libwpd 0.10.3-2
libwpe 1.8.0-1
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.0-2
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.17-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.0.3-1
libxkbcommon-x11 1.0.3-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-8
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.7.3-1
libzmf 0.0.2-9
licenses 20200427-1
light 1.2.2-1
lilv 0.24.10-3
linux 5.10.3.arch1-1
linux-api-headers 5.8-1
linux-firmware 20201218.646f159-1
lirc 1:0.10.1-8
liri-appcenter-git v0.1.0.r233.g9ccea83-1
liri-browser-git r257.7140867-1
liri-calculator 1.3.0-1
liri-eglfs-git r55.d55225b-1
liri-platformtheme-git r99.c95b9b1-1
liri-shell-git v0.9.0.r489.g0582246f-1
liri-wayland-git r69.ddd3c38-1
llvm-libs 11.0.0-4
lm_sensors 3.6.0-2
lmdb 0.9.27-1
lpsolve 5.5.2.5-4
lsb-release 1.4-18
lsof 4.94.0-1
lua 5.4.2-1
lua52 5.2.4-5
luajit 2.0.5-3
luit 20201003-1
lv2 1.18.0-1
lvm2 2.02.187-3
lz4 1:1.9.3-1
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
mariadb 10.5.8-1
mariadb-clients 10.5.8-1
mariadb-jdbc 2.6.2-1
mariadb-libs 10.5.8-1
maven 3.6.3-1
mc 4.8.25-3
md4c 0.4.7-1
mdadm 4.1-2
media-player-info 24-2
mesa 20.3.2-2
metis 5.1.0.p10-1
minizip 1:1.2.11-4
mjpegtools 2.1.0-5
mkinitcpio 29-1
mkinitcpio-busybox 1.31.1-2
mobile-broadband-provider-info 20201225-1
modemmanager 1.14.8-1
modemmanager-qt 5.77.0-1
mongodb-bin 4.2.8-1
mongodb-compass 1.22.1-1
mono 6.12.0.107-1
mono-addins 1.3.3-3
mono-upnp-git 0.1.2-3
mono-zeroconf-git Mono.Zeroconf.0.9.0.r9.g6132666-3
mpfr 4.1.0-1
mpg123 1.26.3-2
mplayer 38157-3
mpv 1:0.33.0-3
mtdev 1.1.6-1
mtools 4.0.26-1
mtpfs 1.1-4
mujs 1.0.9-1
mutter 3.38.2+7+gfbb9a34f2-1
mypaint-brushes1 1.3.1-1
nano 5.4-1
ncdu 1.15.1-2
ncurses 6.2-1
ndctl 71.1-1
